iter	MAE	Quantile:alpha=0.7
318	3811.95859	1587.856461
319	3810.022152	1587.197254
320	3808.903681	1586.542613
321	3804.719741	1584.080133
322	3802.785376	1583.008516
323	3801.915765	1582.628182
324	3797.452108	1579.997657
325	3796.094669	1579.243713
326	3794.926842	1578.68012
327	3794.048338	1578.383903
328	3792.358142	1577.597988
329	3791.580418	1577.238206
330	3790.947868	1576.950678
331	3789.896027	1576.514191
332	3789.080239	1576.204004
333	3787.86148	1575.505031
334	3786.651485	1574.826307
335	3785.639132	1574.304993
336	3783.563636	1572.86919
337	3782.892521	1572.568351
338	3779.425191	1571.014187
339	3778.540292	1570.50756
340	3777.909296	1570.150032
341	3773.603478	1568.224286
342	3773.02644	1567.910797
343	3767.886233	1564.596805
344	3766.349096	1563.911203
345	3765.551643	1563.503251
346	3764.31105	1562.916118
347	3763.476621	1562.566983
348	3762.612251	1562.100529
349	3761.781917	1561.794824
350	3761.187993	1561.641285
351	3760.445927	1561.160856
352	3758.831655	1560.139955
353	3755.301432	1558.053748
354	3754.538619	1557.629538
355	3751.3793	1555.940654
356	3750.329133	1555.467688
357	3749.461343	1555.10244
358	3747.023272	1554.070556
359	3746.093217	1553.632903
360	3745.003773	1552.990702
361	3743.984269	1552.430174
362	3742.688594	1551.646189
363	3741.604624	1551.017023
364	3740.620705	1550.511161
365	3739.941855	1550.248014
366	3739.053109	1549.980382
367	3737.89212	1549.342222
368	3735.384026	1548.179196
369	3733.620819	1547.13079
370	3730.355933	1545.30508
371	3728.139363	1544.222746
372	3726.498412	1543.338506
373	3723.961458	1542.514779
374	3722.560879	1541.864693
375	3720.589528	1540.778237
376	3718.470521	1539.832879
377	3717.645603	1539.575227
378	3716.095429	1538.596571
379	3714.649967	1537.967567
380	3711.143555	1536.449474
381	3709.579402	1535.674693
382	3707.94839	1534.751619
383	3704.939122	1533.436254
384	3703.451105	1532.676701
385	3702.429039	1532.165875
386	3701.535682	1531.811894
387	3698.734438	1530.236837
388	3694.323228	1528.519093
389	3693.089107	1528.037446
390	3688.980269	1525.445571
391	3687.515447	1524.571105
392	3686.573701	1524.146275
393	3685.361673	1523.587421
394	3684.226312	1523.085866
395	3683.198122	1522.691542
396	3681.13864	1521.742483
397	3680.269035	1521.267974
398	3675.592011	1518.190453
399	3673.608667	1517.555249
400	3672.036845	1516.74349
401	3668.622623	1515.317173
402	3667.713571	1514.824374
403	3666.836171	1514.411464
404	3665.493772	1513.930849
405	3664.38412	1513.40456
406	3661.444843	1511.728227
407	3658.143744	1510.530982
408	3657.157417	1510.204953
409	3655.418457	1509.240408
410	3653.115694	1507.808707
411	3649.056093	1505.111756
412	3647.849634	1504.521091
413	3646.410887	1503.639285
414	3642.349407	1502.133905
415	3640.781058	1501.359159
416	3637.292474	1500.055308
417	3632.444878	1497.958583
418	3627.44298	1494.97192
419	3625.863071	1494.201595
420	3623.807453	1493.11001
421	3622.218319	1492.209963
422	3618.805974	1490.64106
423	3617.051187	1489.725187
424	3615.450096	1488.905732
425	3613.160144	1488.083498
426	3611.826239	1487.377752
427	3610.828303	1486.819483
428	3609.900068	1486.478456
429	3607.78487	1485.17021
430	3606.795989	1484.690063
431	3604.580738	1483.583735
432	3603.308629	1482.743702
433	3600.820274	1481.864512
434	3599.622406	1481.340939
435	3598.099832	1480.677624
436	3596.385676	1479.875324
437	3594.720976	1479.131807
438	3593.393117	1478.357314
439	3592.588306	1477.940407
440	3591.24091	1477.139533
441	3590.752514	1477.046215
442	3589.92647	1476.712486
443	3586.693462	1474.50507
444	3585.779005	1474.213206
445	3584.675801	1473.538743
446	3583.89947	1473.184273
447	3582.965696	1472.764502
448	3581.806905	1472.259733
449	3579.141432	1471.039678
450	3576.921228	1469.65081
451	3575.901784	1469.165533
452	3575.113702	1468.800329
453	3573.212132	1468.11528
454	3571.600467	1467.511599
455	3569.591099	1466.518139
456	3567.907729	1465.676849
457	3563.648845	1463.853687
458	3562.450769	1463.271613
459	3560.392886	1462.338592
460	3559.190369	1461.681195
461	3558.288651	1461.223068
462	3557.723553	1460.81228
463	3556.341073	1460.090235
464	3551.273243	1457.260919
465	3550.266593	1456.673551
466	3549.511887	1456.228328
467	3545.988156	1454.334713
468	3543.179504	1453.336669
469	3541.792759	1452.672427
470	3540.371026	1451.968844
471	3539.091322	1451.18958
472	3538.295059	1450.893024
473	3535.727515	1449.37804
474	3534.790335	1449.025974
475	3533.705127	1448.674475
476	3532.97718	1448.308615
477	3532.001119	1447.818529
478	3529.38258	1446.294459
479	3528.316935	1445.839624
480	3526.670213	1444.989581
481	3525.014029	1443.984037
482	3523.895734	1443.436181
483	3522.915892	1442.944727
484	3521.193571	1442.074144
485	3519.019392	1441.59098
486	3517.866771	1440.790744
487	3517.131588	1440.472299
488	3515.33026	1439.517746
489	3513.616447	1438.714863
490	3510.004399	1437.300008
491	3509.452377	1437.128949
492	3508.74418	1436.884821
493	3507.868984	1436.462648
494	3506.815261	1436.034346
495	3505.779758	1435.541268
496	3505.08761	1435.274372
497	3504.106371	1434.782749
498	3503.351336	1434.506795
499	3501.529741	1433.541489
500	3497.296507	1431.820964
501	3495.521371	1431.127861
502	3494.250778	1430.556561
503	3492.43697	1429.638485
504	3490.024148	1428.185928
505	3488.75879	1427.457496
506	3487.693221	1426.848616
507	3485.14856	1425.660305
508	3483.539108	1424.96257
509	3482.381896	1424.372372
510	3480.446003	1423.73124
511	3478.358803	1422.686274
512	3474.802727	1421.427161
513	3473.467528	1420.877904
514	3472.155117	1420.253032
515	3470.610705	1419.562413
516	3467.294879	1418.017817
517	3466.815478	1417.840272
518	3463.792068	1416.693711
519	3461.091691	1415.863973
520	3459.493156	1415.142075
521	3458.467071	1414.667691
522	3457.503782	1414.165437
523	3456.006804	1413.34242
524	3454.617467	1412.521837
525	3453.500131	1412.023488
526	3452.520497	1411.496885
527	3451.35638	1410.974492
528	3450.573912	1410.691667
529	3448.185072	1409.533267
530	3447.093364	1408.942611
531	3446.489659	1408.730968
532	3445.095122	1407.97514
533	3443.77626	1407.311993
534	3442.926399	1407.006216
535	3441.439946	1406.733049
536	3440.447094	1406.275035
537	3439.1876	1405.822904
538	3438.281075	1405.343399
539	3435.381435	1404.176562
540	3432.842192	1403.125238
541	3431.812436	1402.663044
542	3430.898189	1402.265638
543	3429.569262	1401.68019
544	3428.330956	1401.145464
545	3427.46168	1400.836203
546	3426.503215	1400.387482
547	3424.910367	1399.529712
548	3423.067935	1399.010282
549	3421.580237	1398.252855
550	3419.849778	1397.557707
551	3418.609561	1396.805175
552	3417.605497	1396.349659
553	3414.261898	1394.435128
554	3413.110205	1393.839626
555	3411.841803	1393.133917
556	3409.998372	1391.862747
557	3409.477049	1391.632132
558	3408.498762	1391.225083
559	3407.283541	1390.580869
560	3406.292578	1390.164038
561	3405.013613	1389.442624
562	3401.236302	1387.992831
563	3400.064656	1387.254016
564	3398.913443	1386.713115
565	3397.100332	1386.04162
566	3396.391366	1385.787446
567	3395.624665	1385.378641
568	3393.392133	1384.543374
569	3389.872851	1383.071207
570	3389.359599	1382.88266
571	3388.352423	1382.410452
572	3385.850501	1381.06108
573	3382.754842	1379.529657
574	3379.516105	1378.391404
575	3378.731965	1378.107317
576	3377.8714	1377.645804
577	3377.009511	1377.31881
578	3376.320059	1376.959974
579	3375.27077	1376.481715
580	3373.934148	1375.565248
581	3372.954011	1374.926091
582	3372.611751	1374.741922
583	3371.544684	1374.20763
584	3370.41085	1373.698701
585	3367.688472	1372.391838
586	3366.76262	1371.974636
587	3365.416011	1371.271075
588	3364.441347	1370.949574
589	3362.082488	1370.020878
590	3361.523525	1369.640983
591	3360.481391	1369.160497
592	3359.558243	1368.686543
593	3358.644412	1368.124006
594	3357.97745	1367.906286
595	3357.621228	1367.811257
596	3356.873625	1367.575086
597	3355.518345	1366.90825
598	3354.31697	1366.203849
599	3353.06525	1365.624794
600	3349.492189	1363.574025
601	3348.744061	1363.293535
602	3347.885734	1362.851874
603	3347.100552	1362.403949
604	3346.412215	1362.150065
605	3342.579836	1359.974922
606	3339.681306	1358.997584
607	3339.302241	1358.741092
608	3338.172572	1358.28863
609	3337.165849	1357.722184
610	3336.098875	1357.06912
611	3332.433959	1355.670043
612	3331.784167	1355.432555
613	3330.636156	1354.982065
614	3330.261459	1354.837114
615	3328.950332	1354.212528
616	3326.151892	1353.225111
617	3325.866878	1353.107525
618	3324.757897	1352.557424
619	3323.959568	1352.20481
620	3322.363264	1351.742048
621	3320.642627	1351.052563
622	3319.979817	1350.824963
623	3319.016145	1350.44996
624	3314.868089	1348.03654
625	3312.283866	1347.124164
626	3311.392594	1346.719075
627	3310.658419	1346.430554
628	3308.818716	1345.808932
629	3307.675335	1345.234156
630	3306.937323	1344.958814
631	3305.133721	1344.353648
632	3304.075902	1343.926887
633	3302.917062	1343.333664
634	3302.146685	1342.800155
635	3301.36204	1342.491414
636	3300.563002	1342.10604
637	3297.720928	1340.952123
638	3296.071455	1340.451803
639	3295.321395	1340.181983
640	3293.088818	1339.28369
641	3292.231434	1338.64641
642	3291.310888	1338.210125
643	3290.941608	1338.048084
644	3290.217491	1337.736242
645	3289.365571	1337.202033
646	3288.653393	1336.959608
647	3287.446917	1336.242923
648	3284.655613	1334.855532
649	3284.05326	1334.519577
650	3282.673623	1333.845236
651	3282.090213	1333.588524
652	3280.00225	1332.572687
653	3279.15071	1332.248972
654	3278.120864	1331.560953
655	3275.053436	1330.416731
656	3271.116395	1328.138384
657	3270.24166	1327.779785
658	3269.469318	1327.486407
659	3268.528411	1327.050619
660	3268.076088	1326.904141
661	3267.404441	1326.656294
662	3266.39324	1326.32941
663	3266.114771	1326.247975
664	3265.415942	1325.887342
665	3264.881874	1325.69278
666	3263.822867	1325.491414
667	3262.339352	1324.415094
668	3261.265157	1323.804706
669	3259.104908	1323.075592
670	3258.48387	1322.768124
671	3256.953592	1321.975976
672	3255.726634	1321.328662
673	3254.913042	1320.899256
674	3253.545789	1320.347743
675	3249.699402	1318.430609
676	3248.943752	1318.045863
677	3248.155308	1317.673137
678	3247.20238	1317.29837
679	3246.163106	1316.827887
680	3243.699882	1315.526845
681	3241.700946	1314.939875
682	3240.689556	1314.519158
683	3240.339127	1314.300036
684	3239.321562	1313.7746
685	3238.533994	1313.351092
686	3238.280863	1313.199555
687	3237.623393	1312.953641
688	3236.990559	1312.744652
689	3236.393804	1312.429485
690	3235.515883	1312.081868
691	3234.227588	1311.603691
692	3233.295648	1311.211743
693	3231.180393	1310.171842
694	3230.6541	1309.975024
695	3229.772442	1309.572831
696	3228.988439	1309.159914
697	3227.931773	1308.674909
698	3227.014488	1308.223959
699	3226.440473	1307.996534
700	3225.781034	1307.723845
701	3223.214592	1306.40956
702	3222.830101	1306.240047
703	3221.909767	1305.78488
704	3219.923897	1305.103665
705	3219.053285	1304.624927
706	3217.789821	1304.050402
707	3216.698971	1303.419383
708	3215.832889	1303.088696
709	3215.440973	1302.918924
710	3212.624979	1301.687182
711	3209.710581	1300.593483
712	3208.794949	1300.068778
713	3205.431742	1298.608715
714	3200.920886	1296.057418
715	3200.091765	1295.679586
716	3199.432348	1295.399591
717	3198.519162	1294.917613
718	3198.116823	1294.753103
719	3196.675634	1294.194538
720	3193.430687	1292.887273
721	3192.890442	1292.601874
722	3192.265603	1292.34577
723	3191.622077	1292.088522
724	3190.661185	1291.551748
725	3190.12416	1291.366781
726	3189.091117	1290.992027
727	3186.799389	1290.069899
728	3186.113955	1289.808355
729	3184.579265	1289.267826
730	3184.343658	1289.171457
731	3183.366171	1288.572074
732	3182.633517	1288.324989
733	3182.153061	1288.15697
734	3181.328738	1287.682986
735	3179.338186	1287.109661
736	3177.693647	1285.916558
737	3176.931528	1285.505671
738	3176.151794	1285.172562
739	3175.311776	1284.773411
740	3174.303863	1284.232469
741	3173.739205	1283.929301
742	3172.826914	1283.442891
743	3172.495686	1283.349202
744	3171.090186	1282.569366
745	3170.559844	1282.352333
746	3169.062394	1281.731491
747	3166.339891	1280.509205
748	3164.979689	1279.956307
749	3164.021567	1279.509691
750	3162.87747	1278.971152
751	3161.980424	1278.526056
752	3160.461158	1277.917629
753	3159.766696	1277.629311
754	3159.358505	1277.495104
755	3157.961262	1276.802958
756	3156.705629	1276.508609
757	3155.353006	1275.917814
758	3154.553298	1275.607258
759	3154.073919	1275.383438
760	3153.602792	1275.168095
761	3151.838008	1274.370094
762	3150.790766	1273.865031
763	3148.557362	1273.07706
764	3147.73595	1272.691344
765	3146.239913	1272.208417
766	3142.978243	1270.757341
767	3142.531475	1270.560049
768	3141.950935	1270.197428
769	3140.810501	1269.771927
770	3139.675087	1269.200943
771	3139.162211	1269.011585
772	3138.682736	1268.735458
773	3138.123037	1268.528324
774	3136.900326	1267.907642
775	3136.477807	1267.724017
776	3135.663312	1267.400278
777	3135.455725	1267.267895
778	3135.050373	1267.094211
779	3133.132204	1266.35542
780	3132.48897	1266.071228
781	3131.636694	1265.652937
782	3130.052963	1264.672839
783	3129.086853	1264.215872
784	3127.703656	1263.589903
785	3126.733396	1263.063233
786	3125.934214	1262.664157
787	3125.416322	1262.471796
788	3124.366036	1261.949855
789	3123.856754	1261.752059
790	3123.40554	1261.598888
791	3122.433045	1261.167997
792	3121.09203	1260.500298
793	3120.610567	1260.269648
794	3116.983749	1258.800557
795	3115.758115	1258.334044
796	3115.005588	1257.947115
797	3111.720509	1256.30435
798	3110.882171	1255.885652
799	3110.213863	1255.629851
800	3109.552245	1255.401414
801	3109.036465	1255.111877
802	3108.652571	1254.977763
803	3107.889689	1254.706112
804	3107.178278	1254.324203
805	3106.67282	1254.162741
806	3105.103496	1253.413855
807	3104.18102	1252.83672
808	3102.587625	1252.203503
809	3100.743614	1251.348846
810	3099.991806	1251.030697
811	3099.255586	1250.79744
812	3098.403384	1250.405892
813	3096.470938	1249.69401
814	3094.656022	1248.902293
815	3093.652069	1248.418241
816	3091.194313	1247.524196
817	3089.683452	1247.003875
818	3089.368819	1246.877157
819	3088.592111	1246.552584
820	3087.712986	1246.225567
821	3086.740927	1245.777069
822	3086.057568	1245.471978
823	3085.791127	1245.346721
824	3085.248684	1245.111502
825	3084.977344	1244.995242
826	3084.110199	1244.605993
827	3083.452231	1244.312104
828	3082.47143	1243.861599
829	3081.515245	1243.469238
830	3080.698683	1243.138935
831	3080.01761	1242.809057
832	3079.412339	1242.503279
833	3078.388706	1241.891017
834	3077.83031	1241.634752
835	3076.54678	1240.844415
836	3075.449405	1240.309692
837	3073.770195	1239.376028
838	3072.833931	1238.944676
839	3072.0354	1238.579665
840	3071.205383	1238.243357
841	3070.762832	1238.095627
842	3070.370176	1237.955386
843	3069.816498	1237.730852
844	3069.156334	1237.069511
845	3068.497758	1236.763018
846	3067.507891	1236.444617
847	3066.402349	1235.784003
848	3063.961061	1234.681659
849	3061.946216	1233.942592
850	3060.936588	1233.225158
851	3060.620771	1233.151423
852	3060.049913	1232.931143
853	3059.232963	1232.578971
854	3058.692457	1232.363553
855	3058.157311	1232.170948
856	3057.556193	1231.847199
857	3057.206681	1231.733799
858	3056.722939	1231.515909
859	3056.11809	1231.233937
860	3055.143771	1230.765
861	3054.090057	1230.058987
862	3053.503389	1229.833455
863	3053.052871	1229.683401
864	3052.398187	1229.266171
865	3051.714285	1228.879345
866	3049.713808	1228.16886
867	3047.300388	1227.08888
868	3046.499433	1226.743878
869	3045.838185	1226.430971
870	3044.425466	1225.665404
871	3043.848488	1225.397677
872	3043.290283	1225.159377
873	3042.87548	1225.015836
874	3041.818927	1224.440553
875	3040.865684	1223.93525
876	3040.371715	1223.57996
877	3039.598791	1223.279035
878	3038.907299	1222.954614
879	3038.192566	1222.614541
880	3036.079111	1221.79476
881	3035.486256	1221.43486
882	3034.423584	1220.840743
883	3034.01322	1220.602076
884	3033.505009	1220.39377
885	3033.233725	1220.301553
886	3032.363637	1219.957285
887	3031.898564	1219.765888
888	3030.672959	1219.426633
889	3029.868531	1219.093317
890	3029.196728	1218.793558
891	3028.804114	1218.635548
892	3027.862153	1218.185742
893	3026.883555	1217.791567
894	3026.376429	1217.604836
895	3025.302264	1217.160418
896	3024.977309	1217.031779
897	3024.614299	1216.918701
898	3023.950588	1216.610127
899	3023.174549	1216.119676
900	3022.791623	1215.980021
901	3021.782709	1215.631838
902	3019.748077	1214.848301
903	3019.461515	1214.723604
904	3018.952393	1214.440389
905	3017.388575	1213.788602
906	3015.598406	1213.099661
907	3015.334915	1212.981575
908	3014.713247	1212.699294
909	3014.28478	1212.512908
910	3013.921106	1212.253019
911	3013.503114	1211.978194
912	3012.968541	1211.774166
913	3012.045346	1211.108206
914	3011.379737	1210.794797
915	3010.787316	1210.465243
916	3010.199896	1210.196524
917	3008.197135	1209.117668
918	3007.686429	1208.893963
919	3007.164156	1208.61015
920	3004.688718	1207.708307
921	3003.751466	1207.238141
922	3002.870266	1206.681972
923	3002.135046	1206.325621
924	3000.045688	1205.451824
925	2999.563766	1205.164203
926	2998.614667	1204.657748
927	2996.351793	1203.002591
928	2995.834256	1202.830905
929	2995.065801	1202.586493
930	2994.311416	1202.107151
931	2993.859774	1201.946374
932	2993.456534	1201.806077
933	2992.812916	1201.523896
934	2991.871635	1200.983449
935	2991.417973	1200.823148
936	2990.974466	1200.648333
937	2990.159601	1200.401093
938	2989.892767	1200.199786
939	2989.219236	1199.937145
940	2988.276595	1199.427287
941	2987.856841	1199.225366
942	2987.32632	1199.014594
943	2986.231266	1198.495921
944	2984.07477	1197.826532
945	2982.609827	1197.321473
946	2981.927465	1196.883959
947	2981.422195	1196.701033
948	2980.737797	1196.357949
949	2980.301252	1196.175103
950	2979.592005	1195.886961
951	2979.211027	1195.690842
952	2978.520222	1195.336938
953	2977.974834	1195.091949
954	2977.454845	1194.817776
955	2976.751767	1194.513848
956	2976.215035	1194.276838
957	2975.645903	1193.966228
958	2974.911148	1193.609191
959	2974.547518	1193.487331
960	2973.429524	1192.902916
961	2972.91164	1192.6506
962	2972.154411	1192.308012
963	2971.516667	1192.073176
964	2970.855299	1191.679658
965	2969.642437	1190.948077
966	2969.288999	1190.831368
967	2967.83385	1190.263472
968	2967.324238	1189.968386
969	2966.898109	1189.809494
970	2966.644547	1189.698358
971	2964.546546	1188.630061
972	2963.941553	1188.392993
973	2963.336806	1188.056715
974	2962.957441	1187.867926
975	2962.034318	1187.335353
976	2960.122755	1186.597242
977	2958.05246	1185.867581
978	2957.344481	1185.506824
979	2956.426013	1185.024574
980	2955.791567	1184.686433
981	2955.28044	1184.437882
982	2953.722042	1183.784149
983	2952.314612	1182.80305
984	2951.980895	1182.670442
985	2951.240525	1182.216386
986	2950.500412	1181.949245
987	2949.866068	1181.660013
988	2949.234842	1181.372581
989	2948.85953	1181.237859
990	2948.270836	1180.930236
991	2947.817178	1180.775803
992	2947.117497	1180.412869
993	2946.659917	1180.170104
994	2945.778646	1179.807191
995	2944.983319	1179.408143
996	2944.560918	1179.292476
